饿了,肚子饿了
各年龄段,不同年龄段
其他地区,其它地区
情节发展,故事走向
各方关注,广受关注
封建专制制度,封建帝制
那些女子,那些女人
整个世界,整个地球
经济情况,经济状况
获得灵感,汲取灵感
表示不满,表示抗议
很方便,非常方便
美国军人,美军士兵
数字特效,电脑特效
学术道德,学术规范
最大限度,最大程度
感受能力,感知能力
不可饶恕,不可原谅
无法接受,不能接受
交通方便快捷,交通便捷
泪眼朦胧,泪水盈眶
女孩们,少女们
处处碰壁,四处碰壁
中国传统,中华传统
海外文化,异国文化
十分精彩,非常精彩
团队意识,合作精神
如何获得,如何取得
基督教教义,基督教义
越来越远,渐行渐远
内容丰富,内容丰富多彩
风景旅游区,名胜风景区
突然觉得,突然感觉
英俊不凡,相貌英俊
非常有趣,很有意思
观世音菩萨,观音娘娘
仓皇逃跑,仓皇逃窜
关键指标,重要指标
社会价值观,社会价值观念
失业职工,失业人员
渐渐地,慢慢地
技术精湛,技艺精湛
人口集中,人口密集
自我肯定,自我认同
打扫房子,收拾屋子
备受推崇,深受欢迎
情感纠葛,情感矛盾
爆发战争,发生战争
武功高强,武功盖世
德国法西斯,德国纳粹
交通方便,交通便捷
遵守诺言,遵守约定
无法预测,不可预测
绿树成阴,绿树婆娑
当地特色,本土特色
发展起来,繁荣起来
评判标准,衡量尺度
女性身体,女人身体
深远意义,重要意义
宋仁宗赵祯,仁宗皇帝
文化习惯,文化习俗
意义重大,意义非凡
网络赌博,网上赌博
这种情形,此种情况
其他因素,其他原因
宋仁宗赵祯,仁宗赵祯
优惠利率,利率优惠
各种活动,各项活动
身材不高,个子不高
创作群体,创作队伍
政局动荡,政治动荡
二十四小时,24小时
充满灵性,充满灵气
房地产价格,房产价格
一切事情,每一件事
去旅游,去旅行
找不到,无法找到
绿树成阴,草木葱茏
精神需要,精神需求
记者采访,媒体采访
这个东东,这玩意儿
亲身体验,亲身体会
构建和谐社会,建设和谐社会
道德标准,道德准则
思维活跃,思维敏锐
居住质量,居住品质
享誉世界,享誉国际
从事科研,从事研究
90年代,1990年代
台海问题,台湾问题
每个学生,每位学生
资金支持,资金扶持
医院急救,医院抢救
都市发展,城市发展
美军士兵,美国军人
教育方法,教育模式
先进技术,先进科技
武士道精神,武士精神
文化发展,文化产业发展
一起经历,共同经历
丰富人生,精彩人生
申请立项,申报立项
现代城市,现代都市
很久很久以前,很多年以前
不能接受,不能忍受
旌旗猎猎,旌旗飘扬
感到幸福,感到快乐
从未谋面,未曾谋面
政治观点,政治观念
比较高,较高
评判标准,判断标准
传播渠道,传播路径
生命个体,个体生命
全国经济,国家经济
民族组成,民族成分
树丛中,树林里
漂亮女人,美丽女人
突然之间,忽然之间
无法预测,无法预料
艺术魅力,艺术感染力
努力赚钱,努力挣钱
深度思考,深入思考
资金支持,经费支持
面色蜡黄,面色枯黄
社会承认,社会认可
收拾行装,收拾行李
这种状态,这种状况
公司工作,单位工作
文化内核,文化特质
多年历史,悠久历史
享受生命,享受人生
非常强烈,十分强烈
全球化语境,全球化背景
形状大小,大小形状
十三中学,第十三中学
光影交织,光影交错
浪漫时光,甜蜜时光
100平米,100平方米
可以赚钱,能赚钱
世界意义,国际意义
振兴东北,东北振兴
世界金融中心,国际金融中心
日本军人,日军士兵
评判标准,评价标准
哲学思辨,哲学思考
武装组织,武装分子
闯荡天下,闯荡世界
八旗兵,清朝军队
庐山景区,庐山风景区
逐步加深,逐步深化
喜欢阅读,喜欢看书
迅速发展,高速发展
政治军事,军事政治
构建和谐社会,共建和谐社会
生活处境,生活境遇
面色蜡黄,面容憔悴
正好相反,截然相反
那个时代,那个年代
年轻女子,年轻姑娘
生存方式,生存手段
非常精彩,十分精彩
经济水平,经济条件
主要特征,重要特征
其它地区,其他地区
作战计划,战争计划
规模较大,较大规模
战略意图,战略企图
不难发现,可以发现
所有职业,任何职业
广大民众,广大人民
男权社会,父权社会
就喜欢,就是喜欢
情绪不好,心情很差
房产价格,房子价格
按照法律,依据法律
婚姻成功,婚姻幸福
作战部署,作战计划
反复出现,重复出现
浪漫情调,浪漫风情
奢侈豪华,豪华奢侈
出国留学,国外留学
漂亮妻子,漂亮老婆
八旗兵,八旗军队
功利思想,功利心理
奢侈豪华,极尽奢华
繁华商业区,闹市中心
信用危机,信誉危机
房屋价格,房产价格
作战任务,作战目标
一个女人,一个女性
树丛中,树林中
可以达到,可以做到
黄金时期,黄金阶段
诙谐幽默,幽默风趣
道德标准,道德要求
学习英语,英语学习
相互制衡,相互制约
知识渊博,知识丰富
新奇事物,新鲜事物
此次会议,本次会议
